NC_022132|YP_008472706.1	-41	5.0
NC_022132|YP_008472709.1	-23	9.0
NC_022132|YP_008472712.1	-145	6.0
NC_022132|YP_008472714.1	-23	2.0
NC_022132|YP_008472715.1	-9	1.0
NC_022132|YP_008472717.1	-14	8.0
NC_022132|YP_008472718.1	-7	6.0
NC_022132|YP_008472720.1	-92	6.0
NC_022132|YP_008472721.1	-106	6.0
NC_022132|YP_008472722.1	-31	1.0
NC_022132|YP_008472723.1	-46	6.0
NC_022132|YP_008472725.1	-30	3.0
NC_022132|YP_008472728.1	-51	5.0
NC_022132|YP_008472729.1	-103	6.0
NC_022132|YP_008472730.1	-157	1.0
NC_022132|YP_008472731.1	-27	2.0
NC_022132|YP_008472737.1	-7	4.0
NC_022132|YP_008472738.1	-13	6.0
NC_022132|YP_008472739.1	-113	2.0
NC_022132|YP_008472742.1	-129	3.0
NC_022132|YP_008472743.1	-83	3.0
NC_022132|YP_008472744.1	-21	1.0
NC_022132|YP_008472745.1	-65	7.0
NC_022132|YP_008472746.1	-11	2.0
NC_022132|YP_008472747.1	-14	2.0
NC_022132|YP_008472748.1	-72	4.0
NC_022132|YP_008472749.1	-56	8.0
NC_022132|YP_008472750.1	-17	2.0
NC_022132|YP_008472751.1	-45	3.0
NC_022132|YP_008472753.1	-101	2.0
NC_022132|YP_008472755.1	-15	2.0
NC_022132|YP_008472758.1	-32	2.0
NC_022132|YP_008472759.1	-61	6.0
NC_022132|YP_008472760.1	-37	1.0
NC_022132|YP_008472762.1	-9	6.0
NC_022132|YP_008472763.1	-33	1.0
NC_022132|YP_008472764.1	-6	3.0
NC_022132|YP_008472765.1	-45	3.0
NC_022132|YP_008472766.1	-141	0.0
NC_022132|YP_008472767.1	-46	3.0
NC_022132|YP_008472769.1	-94	5.0
NC_022132|YP_008472770.1	-26	1.0
NC_022132|YP_008472771.1	-10	8.0
NC_022132|YP_008472772.1	-116	2.0
NC_022132|YP_008472773.1	-90	1.0
NC_022132|YP_008472774.1	-19	9.0
NC_022132|YP_008472776.1	-15	2.0
NC_022132|YP_008472777.1	-13	7.0
NC_022132|YP_008472778.1	-16	2.0
NC_022132|YP_008472779.1	-34	3.0
NC_022132|YP_008472781.1	-13	2.0
NC_022132|YP_008472783.1	-43	3.0
NC_022132|YP_008472784.1	-132	4.0
NC_022132|YP_008472785.1	-29	2.0
NC_022132|YP_008472786.1	-71	9.0
NC_022132|YP_008472787.1	-64	2.0
NC_022132|YP_008472789.1	-150	0.0
NC_022132|YP_008472790.1	-15	6.0
NC_022132|YP_008472791.1	-167	2.0
NC_022132|YP_008472792.1	-34	2.0
NC_022132|YP_008472794.1	-79	1.0
NC_022132|YP_008472795.1	-89	2.0
NC_022132|YP_008472796.1	-9	4.0
NC_022132|YP_008472797.1	-66	1.0
NC_022132|YP_008472799.1	-7	5.0
NC_022132|YP_008472800.1	-78	4.0
NC_022132|YP_008472801.1	-103	6.0
NC_022132|YP_008472802.1	-118	7.0
NC_022132|YP_008472803.1	-72	3.0
NC_022132|YP_008472804.1	-32	1.0
NC_022132|YP_008472806.1	-16	1.0
NC_022132|YP_008472807.1	-163	6.0
NC_022132|YP_008472809.1	-67	4.0
NC_022132|YP_008472810.1	-61	1.0
NC_022132|YP_008472811.1	-60	3.0
NC_022132|YP_008472812.1	-64	1.0
NC_022132|YP_008472813.1	-15	2.0
NC_022132|YP_008472814.1	-105	1.0
NC_022132|YP_008472816.1	-37	3.0
NC_022132|YP_008472817.1	-15	2.0
NC_022132|YP_008472818.1	-19	2.0
NC_022132|YP_008472820.1	-17	1.0
NC_022132|YP_008472821.1	-105	8.0
NC_022132|YP_008472822.1	-80	2.0
NC_022132|YP_008472823.1	-10	6.0
NC_022132|YP_008472824.1	-20	1.0
NC_022132|YP_008472825.1	-27	1.0
NC_022132|YP_008472827.1	-35	1.0
NC_022132|YP_008472828.1	-37	3.0
NC_022132|YP_008472829.1	-95	6.0
NC_022132|YP_008472830.1	-77	8.0
NC_022132|YP_008472831.1	-40	3.0
NC_022132|YP_008472832.1	-20	3.0
NC_022132|YP_008472833.1	-53	5.0
NC_022132|YP_008472834.1	-98	4.0
NC_022132|YP_008472838.1	-51	8.0
NC_022132|YP_008472839.1	-32	3.0
NC_022132|YP_008472840.1	-43	4.0
