NC_000916|NP_275172.1	NP_276774.1	-21	2.0
NC_000916|NP_275211.1	NP_275226.1	-135	8.0
NC_000916|NP_275211.1	NP_275215.1	-79	2.0
NC_000916|NP_275211.1	NP_276697.1	-33	6.0
NC_000916|NP_275215.1	NP_275226.1	-175	2.0
NC_000916|NP_275215.1	NP_275211.1	-80	9.0
NC_000916|NP_275215.1	NP_276697.1	-44	2.0
NC_000916|NP_275218.1	NP_275224.1	-115	5.0
NC_000916|NP_275218.1	NP_275222.1	-54	7.0
NC_000916|NP_275218.1	NP_275220.1	-50	1.0
NC_000916|NP_275218.1	NP_275208.1	-46	5.0
NC_000916|NP_275218.1	NP_275209.1	-29	7.0
NC_000916|NP_275218.1	NP_275213.1	-18	3.0
NC_000916|NP_275218.1	NP_275214.1	-17	8.0
NC_000916|NP_275226.1	NP_275215.1	-175	8.0
NC_000916|NP_275226.1	NP_275211.1	-135	3.0
NC_000916|NP_275226.1	NP_276697.1	-40	1.0
NC_000916|NP_275230.1	NP_275224.1	-92	2.0
NC_000916|NP_275230.1	NP_275222.1	-41	5.0
NC_000916|NP_275230.1	NP_275208.1	-36	1.0
NC_000916|NP_275230.1	NP_275220.1	-36	1.0
NC_000916|NP_275230.1	NP_275209.1	-23	5.0
NC_000916|NP_275230.1	NP_275213.1	-19	2.0
NC_000916|NP_275230.1	NP_275214.1	-14	5.0
NC_000916|NP_275248.1	NP_276777.1	-86	2.0
NC_000916|NP_275262.1	NP_276620.1	-12	1.0
NC_000916|NP_275265.1	NP_276453.1	-26	1.0
NC_000916|NP_275266.1	NP_275962.1	-42	1.0
NC_000916|NP_275266.1	NP_275503.1	-41	2.0
NC_000916|NP_275266.1	NP_275589.1	-40	8.0
NC_000916|NP_275266.1	NP_275602.1	-37	3.0
NC_000916|NP_275266.1	NP_275611.1	-37	6.0
NC_000916|NP_275266.1	NP_275317.1	-31	3.0
NC_000916|NP_275266.1	NP_276039.1	-31	3.0
NC_000916|NP_275266.1	NP_276120.1	-30	1.0
NC_000916|NP_275266.1	NP_275499.1	-29	1.0
NC_000916|NP_275266.1	NP_276038.1	-27	1.0
NC_000916|NP_275266.1	NP_275762.1	-27	5.0
NC_000916|NP_275266.1	NP_275435.1	-22	5.0
NC_000916|NP_275269.1	NP_275883.1	-9	9.0
NC_000916|NP_275269.1	NP_275786.1	-8	3.0
NC_000916|NP_275269.1	NP_276350.1	-8	5.0
NC_000916|NP_275276.1	NP_276816.1	-115	2.0
NC_000916|NP_275278.1	NP_276587.1	-26	4.0
NC_000916|NP_275278.1	NP_276707.1	-21	1.0
NC_000916|NP_275279.1	NP_275520.1	-28	6.0
NC_000916|NP_275279.1	NP_275517.1	-26	1.0
NC_000916|NP_275281.1	NP_275316.1	-18	3.0
NC_000916|NP_275281.1	NP_275475.1	-13	5.0
NC_000916|NP_275282.1	NP_276956.1	-9	2.0
NC_000916|NP_275294.1	NP_276150.1	-83	1.0
NC_000916|NP_275295.1	NP_275717.1	-11	5.0
NC_000916|NP_275296.1	NP_276128.1	-19	2.0
NC_000916|NP_275296.1	NP_276035.1	-15	3.0
NC_000916|NP_275296.1	NP_276193.1	-14	2.0
NC_000916|NP_275298.1	NP_275299.1	-17	2.0
NC_000916|NP_275299.1	NP_275298.1	-17	2.0
NC_000916|NP_275300.1	NP_276466.1	-71	4.0
NC_000916|NP_275300.1	NP_275363.1	-68	1.0
NC_000916|NP_275316.1	NP_275475.1	-38	9.0
NC_000916|NP_275316.1	NP_275593.1	-29	7.0
NC_000916|NP_275317.1	NP_275589.1	-58	2.0
NC_000916|NP_275317.1	NP_275611.1	-51	1.0
NC_000916|NP_275317.1	NP_275762.1	-51	4.0
NC_000916|NP_275317.1	NP_276120.1	-47	2.0
NC_000916|NP_275317.1	NP_275962.1	-42	3.0
NC_000916|NP_275317.1	NP_275266.1	-37	2.0
NC_000916|NP_275317.1	NP_276252.1	-31	2.0
NC_000916|NP_275317.1	NP_276038.1	-30	7.0
NC_000916|NP_275317.1	NP_276388.1	-28	5.0
NC_000916|NP_275321.1	NP_276832.1	-44	8.0
NC_000916|NP_275337.1	NP_275248.1	-171	3.0
NC_000916|NP_275356.1	NP_276477.1	-75	4.0
NC_000916|NP_275357.1	NP_276073.1	-31	8.0
NC_000916|NP_275359.1	NP_276716.1	-7	2.0
NC_000916|NP_275363.1	NP_276466.1	-179	3.0
NC_000916|NP_275380.1	NP_275657.1	-73	2.0
NC_000916|NP_275380.1	NP_275494.1	-72	5.0
NC_000916|NP_275380.1	NP_275599.1	-72	6.0
NC_000916|NP_275380.1	NP_276065.1	-58	3.0
NC_000916|NP_275380.1	NP_275815.1	-55	4.0
NC_000916|NP_275380.1	NP_275460.1	-49	4.0
NC_000916|NP_275380.1	NP_275461.1	-39	4.0
NC_000916|NP_275383.1	NP_275384.1	-19	2.0
NC_000916|NP_275392.1	NP_276659.1	-42	2.0
NC_000916|NP_275420.1	NP_276830.1	-65	5.0
NC_000916|NP_275420.1	NP_275868.1	-22	1.0
NC_000916|NP_275423.1	NP_276416.1	-42	8.0
NC_000916|NP_275423.1	NP_275336.1	-22	8.0
NC_000916|NP_275423.1	NP_275484.1	-14	2.0
NC_000916|NP_275423.1	NP_276267.1	-13	5.0
NC_000916|NP_275435.1	NP_275499.1	-99	7.0
NC_000916|NP_275435.1	NP_276120.1	-30	3.0
NC_000916|NP_275435.1	NP_275266.1	-25	2.0
