NC_015963|YP_004821546.1	NC_015963|YP_004821546.1	2	-149	100
NC_015963|YP_004821546.1	NC_020238|YP_007423545.1	5	-44	88.1
NC_015963|YP_004821546.1	NC_020238|YP_007422900.1	4	-19	47.6
NC_015963|YP_004821546.1	NC_000913|NP_417965.1	5	-18	44.2
NC_015963|YP_004821546.1	NC_020238|YP_007421240.1	5	-16	50
NC_015963|YP_004821546.1	NC_002570|NP_241407.1	2	-15	43.6
NC_015963|YP_004821546.1	NC_006512|YP_156823.1	7	-15	59.6
NC_015963|YP_004821546.1	NC_002570|NP_244091.1	4	-13	43.6
NC_015963|YP_004821546.1	NC_020238|YP_007424289.1	1	-12	43.8
NC_015963|YP_004821547.1	NC_015963|YP_004821547.1	0	0	100
NC_015963|YP_004821547.1	NC_020238|YP_007423544.1	0	0	99.4
NC_015963|YP_004821547.1	NC_000913|NP_418663.1	0	0	94.4
NC_015963|YP_004821547.1	NC_020238|YP_007421836.1	0	0	96.4
NC_015963|YP_004821547.1	NC_016147|YP_004929067.1	5	-165	94.9
NC_015963|YP_004821547.1	NC_000916|NP_276136.1	7	-96	97.3
NC_015963|YP_004821547.1	NC_020238|YP_007419635.1	2	-85	82.2
NC_015963|YP_004821547.1	NC_020238|YP_007423258.1	3	-85	95
NC_015963|YP_004821547.1	NC_020238|YP_007420477.1	2	-68	77.3
NC_015963|YP_004821547.1	NC_000916|NP_276630.1	3	-64	98.6
NC_015963|YP_004821547.1	NC_002570|NP_243381.1	5	-40	84.4
NC_015963|YP_004821547.1	NC_000916|NP_275624.1	5	-37	80.4
NC_015963|YP_004821547.1	NC_002570|NP_241423.1	2	-26	60.8
NC_015963|YP_004821547.1	NC_006512|YP_155607.1	4	-26	68.4
NC_015963|YP_004821547.1	NC_020238|YP_007423113.1	7	-25	60.8
NC_015963|YP_004821547.1	NC_017248|YP_005603024.1	2	-22	58.8
NC_015963|YP_004821547.1	NC_020238|YP_007420911.1	9	-22	85.9
NC_015963|YP_004821547.1	NC_006512|YP_154986.1	3	-21	69.6
NC_015963|YP_004821547.1	NC_017248|YP_005604726.1	8	-21	65.7
NC_015963|YP_004821547.1	NC_009901|YP_001502627.1	7	-20	22.9
NC_015963|YP_004821547.1	NC_016147|YP_004929459.1	3	-16	73.4
NC_015963|YP_004821547.1	NC_020238|YP_007419973.1	6	-16	72
