NC_022132|YP_008472706.1	NC_022132|YP_008472706.1	0	0	100	100
NC_022132|YP_008472706.1	NC_006512|YP_155457.1	5	-41	28.3	99.8
NC_022132|YP_008472706.1	NC_016147|YP_004929753.1	8	-17	27.6	57.6
NC_022132|YP_008472706.1	NC_006512|YP_154594.1	1	-16	29.4	58.2
NC_022132|YP_008472706.1	NC_020238|YP_007419728.1	7	-16	28.3	57.2
NC_022132|YP_008472706.1	NC_002570|NP_241431.1	1	-15	32.1	62.1
NC_022132|YP_008472706.1	NC_006512|YP_155000.1	1	-14	27.8	58
NC_022132|YP_008472706.1	NC_006512|YP_156616.1	2	-14	28.4	61.3
NC_022132|YP_008472706.1	NC_020238|YP_007419747.1	3	-14	28.9	49
NC_022132|YP_008472706.1	NC_009901|YP_001502253.1	4	-14	28.2	57.2
NC_022132|YP_008472706.1	NC_006512|YP_156724.1	4	-14	31.7	45.5
NC_022132|YP_008472706.1	NC_020238|YP_007422879.1	4	-14	31	46.1
NC_022132|YP_008472706.1	NC_002570|NP_244768.1	9	-14	30.5	54.1
NC_022132|YP_008472706.1	NC_009901|YP_001501497.1	1	-13	29.6	54.8
NC_022132|YP_008472706.1	NC_009901|YP_001500721.1	5	-13	28.1	58.3
NC_022132|YP_008472706.1	NC_009901|YP_001500762.1	1	-12	34	35.8
NC_022132|YP_008472706.1	NC_022132|YP_008473672.1	3	-12	39.9	39.9
NC_022132|YP_008472706.1	NC_020238|YP_007424502.1	3	-12	38.1	32.3
NC_022132|YP_008472706.1	NC_009901|YP_001503020.1	5	-12	30.5	44.4
NC_022132|YP_008472706.1	NC_020238|YP_007421276.1	2	-11	29.2	53
NC_022132|YP_008472706.1	NC_009901|YP_001501489.1	1	-10	27.2	56.9
NC_022132|YP_008472706.1	NC_020238|YP_007419917.1	2	-10	46.4	35.1
NC_022132|YP_008472706.1	NC_009901|YP_001503518.1	3	-10	32.6	42.6
NC_022132|YP_008472706.1	NC_020238|YP_007424501.1	4	-10	31.1	46.4
NC_022132|YP_008472706.1	NC_009901|YP_001501852.1	6	-10	27.9	56.5
NC_022132|YP_008472706.1	NC_002570|NP_244730.1	8	-10	26.3	54.7
NC_022132|YP_008472706.1	NC_002570|NP_244783.1	1	-09	33.9	42.9
NC_022132|YP_008472706.1	NC_002570|NP_244635.1	2	-09	31.4	40.4
NC_022132|YP_008472706.1	NC_002570|NP_241742.1	2	-09	27.4	58.3
NC_022132|YP_008472706.1	NC_006512|YP_156055.1	2	-09	37	39.7
NC_022132|YP_008472706.1	NC_009901|YP_001503116.1	3	-09	27.8	52.9
NC_022132|YP_008472706.1	NC_009901|YP_001501184.1	4	-09	26.2	53.8
NC_022132|YP_008472706.1	NC_006512|YP_155685.1	5	-09	31.3	40.7
NC_022132|YP_008472706.1	NC_006512|YP_156157.1	5	-09	24.3	61.5
NC_022132|YP_008472706.1	NC_009901|YP_001503339.1	7	-09	27.7	55.4
NC_022132|YP_008472706.1	NC_009901|YP_001503340.1	8	-09	28.4	56.9
NC_022132|YP_008472706.1	NC_006512|YP_154425.1	9	-09	36.3	32.7
NC_022132|YP_008472706.1	NC_006512|YP_156553.1	1	-08	32	33.8
NC_022132|YP_008472706.1	NC_006512|YP_156590.1	2	-08	33.5	41.1
NC_022132|YP_008472706.1	NC_006512|YP_156261.1	2	-08	31.8	35.6
NC_022132|YP_008472706.1	NC_000913|NP_416399.1	2	-08	26	53.7
NC_022132|YP_008472706.1	NC_002570|NP_241872.1	2	-08	46.6	35.8
NC_022132|YP_008472706.1	NC_002570|NP_244771.1	2	-08	36.5	32.3
NC_022132|YP_008472706.1	NC_006512|YP_154567.1	5	-08	44.1	26.1
NC_022132|YP_008472706.1	NC_022132|YP_008473600.1	5	-08	41.7	26.2
NC_022132|YP_008472706.1	NC_006512|YP_155810.1	6	-08	37.3	24.4
NC_022132|YP_008472706.1	NC_022132|YP_008474250.1	1	-07	75.5	14.5
NC_022132|YP_008472706.1	NC_022132|YP_008473263.1	1	-07	50	46.1
NC_022132|YP_008472706.1	NC_009901|YP_001500200.1	1	-07	33.2	44.1
