NC_000916|NP_275146.1	NC_000916|NP_275146.1	100.00	268	0	0	1	268	1	268	0.0	  544
NC_000916|NP_275147.1	NC_000916|NP_275147.1	100.00	337	0	0	1	337	1	337	0.0	  692
NC_000916|NP_275147.1	NC_009901|YP_001500048.1	26.16	279	136	10	39	316	3	212	3e-12	67.4
NC_000916|NP_275147.1	NC_020238|YP_007419218.1	31.65	139	72	5	180	317	93	209	1e-10	62.8
NC_000916|NP_275147.1	NC_000913|NP_417779.1	25.36	280	137	10	38	316	1	209	2e-10	62.4
NC_000916|NP_275147.1	NC_006512|YP_156305.1	26.52	279	135	11	39	316	3	212	3e-09	58.9
NC_000916|NP_275147.1	NC_002570|NP_241000.1	30.61	147	74	5	171	316	89	208	1e-08	57.0
NC_000916|NP_275147.1	NC_016147|YP_004931250.1	24.28	276	139	9	39	313	8	214	3e-08	56.2
NC_000916|NP_275148.1	NC_000916|NP_275148.1	100.00	254	0	0	1	254	1	254	0.0	  509
NC_000916|NP_275149.1	NC_000916|NP_275149.1	100.00	100	0	0	1	100	1	100	2e-68	  206
NC_000916|NP_275149.1	NC_017248|YP_005604005.1	46.43	56	29	1	18	73	7	61	2e-08	50.8
NC_000916|NP_275149.1	NC_006512|YP_156303.1	45.10	51	28	0	20	70	10	60	6e-07	46.6
NC_000916|NP_275149.1	NC_016147|YP_004931248.1	37.04	81	38	2	18	85	9	89	8e-07	46.2
NC_000916|NP_275149.1	NC_000913|NP_417777.1	34.85	66	38	1	20	80	10	75	6e-06	43.5
NC_000916|NP_275150.1	NC_000916|NP_275150.1	100.00	241	0	0	1	241	1	241	3e-162	  455
NC_000916|NP_275150.1	NC_000913|NP_417776.1	40.21	189	108	2	27	215	59	242	1e-35	  132
NC_000916|NP_275150.1	NC_020238|YP_007419221.1	39.19	222	128	4	6	225	37	253	2e-34	  129
NC_000916|NP_275150.1	NC_002570|NP_241003.1	42.00	200	110	3	27	225	59	253	4e-34	  128
NC_000916|NP_275150.1	NC_017248|YP_005604004.1	41.40	186	101	3	23	205	52	232	4e-32	  123
NC_000916|NP_275150.1	NC_021033|YP_007822083.1	39.20	199	115	3	11	208	42	235	1e-30	  119
NC_000916|NP_275150.1	NC_006512|YP_156302.1	39.77	176	101	2	30	205	62	232	3e-30	  117
NC_000916|NP_275150.1	NC_009901|YP_001500051.1	37.85	177	103	2	30	205	62	232	3e-29	  115
NC_000916|NP_275150.1	NC_022132|YP_008473046.1	36.89	225	117	8	30	239	62	276	4e-29	  114
NC_000916|NP_275150.1	NC_016147|YP_004931247.1	39.01	182	106	2	27	208	59	235	8e-24	  100
NC_000916|NP_275151.1	NC_000916|NP_275151.1	100.00	136	0	0	1	136	1	136	5e-84	  248
NC_000916|NP_275151.1	NC_017248|YP_005604003.1	49.15	59	30	0	62	120	26	84	5e-13	64.3
NC_000916|NP_275151.1	NC_022132|YP_008473045.1	50.00	48	24	0	67	114	31	78	1e-10	57.8
NC_000916|NP_275151.1	NC_006512|YP_156301.1	47.92	48	25	0	67	114	31	78	2e-10	57.4
NC_000916|NP_275151.1	NC_009901|YP_001500052.1	47.92	48	25	0	67	114	31	78	5e-10	55.8
NC_000916|NP_275151.1	NC_016147|YP_004931246.1	48.15	54	28	0	67	120	29	82	2e-09	54.7
NC_000916|NP_275151.1	NC_000913|NP_417775.1	45.83	48	26	0	67	114	31	78	3e-09	53.9
NC_000916|NP_275151.1	NC_021033|YP_007822084.1	40.00	55	32	1	60	114	25	78	6e-08	50.1
NC_000916|NP_275151.1	NC_002570|NP_241004.1	42.86	49	28	0	66	114	30	78	1e-07	49.3
NC_000916|NP_275151.1	NC_020238|YP_007419222.1	38.78	49	30	0	66	114	30	78	5e-07	47.4
NC_000916|NP_275152.1	NC_000916|NP_275152.1	100.00	153	0	0	1	153	1	153	5e-109	  313
NC_000916|NP_275152.1	NC_016147|YP_004931245.1	29.46	129	60	3	25	152	11	109	3e-09	54.3
