NC_002570|NP_241980.1	NC_002570|NP_241982.1	0.766
NC_002570|NP_244314.1	NC_002570|NP_244708.1	0.246
NC_002570|NP_242278.1	NC_002570|NP_244374.1	1.437
NC_002570|NP_241771.1	NC_002570|NP_243592.1	0.156
NC_002570|NP_242213.1	NC_002570|NP_244374.1	1.427
NC_002570|NP_240989.1	NC_002570|NP_243243.1	1.425
NC_002570|NP_242247.1	NC_002570|NP_243020.1	0.288
NC_002570|NP_243020.1	NC_002570|NP_244003.1	0.34
NC_002570|NP_240955.1	NC_002570|NP_242567.1	1.406
NC_002570|NP_242552.1	NC_002570|NP_242812.1	1.409
NC_002570|NP_241820.1	NC_002570|NP_244452.1	0.435
NC_002570|NP_242730.1	NC_002570|NP_244557.1	0.329
NC_002570|NP_243020.1	NC_002570|NP_244366.1	0.341
NC_002570|NP_241350.1	NC_002570|NP_242978.1	0.625
NC_002570|NP_240955.1	NC_002570|NP_242339.1	1.326
NC_002570|NP_242567.1	NC_002570|NP_243640.1	1.414
NC_002570|NP_244374.1	NC_002570|NP_244619.1	1.41
NC_002570|NP_242293.1	NC_002570|NP_242767.1	1.381
NC_002570|NP_242430.1	NC_002570|NP_242822.1	0.559
NC_002570|NP_241932.1	NC_002570|NP_242979.1	0.42
NC_002570|NP_241969.1	NC_002570|NP_241970.1	0.7
NC_002570|NP_241842.1	NC_002570|NP_243212.1	0.18
NC_002570|NP_241534.1	NC_002570|NP_243020.1	0.341
NC_002570|NP_242906.1	NC_002570|NP_242908.1	0.488
NC_002570|NP_242036.1	NC_002570|NP_243788.1	1.415
NC_002570|NP_242552.1	NC_002570|NP_244003.1	1.409
NC_002570|NP_243788.1	NC_002570|NP_243833.1	1.403
NC_002570|NP_243788.1	NC_002570|NP_244366.1	1.408
NC_002570|NP_242247.1	NC_002570|NP_242812.1	0.379
NC_002570|NP_242552.1	NC_002570|NP_243020.1	0.162
NC_002570|NP_241916.1	NC_002570|NP_242962.1	0.395
NC_002570|NP_241136.1	NC_002570|NP_243020.1	0.346
NC_002570|NP_242812.1	NC_002570|NP_243343.1	1.409
NC_002570|NP_241354.1	NC_002570|NP_242974.1	0.205
NC_002570|NP_242247.1	NC_002570|NP_243640.1	0.539
NC_002570|NP_243243.1	NC_002570|NP_244003.1	1.409
NC_002570|NP_241570.1	NC_002570|NP_242921.1	0.438
NC_002570|NP_244314.1	NC_002570|NP_244545.1	0.302
NC_002570|NP_244502.1	NC_002570|NP_244873.1	0.496
NC_002570|NP_241820.1	NC_002570|NP_242213.1	1.427
NC_002570|NP_244520.1	NC_002570|NP_244521.1	1.13
NC_002570|NP_242508.1	NC_002570|NP_243708.1	0.962
NC_002570|NP_242795.1	NC_002570|NP_243788.1	1.425
NC_002570|NP_242204.1	NC_002570|NP_244619.1	1.41
NC_002570|NP_241844.1	NC_002570|NP_243389.1	1.32
NC_002570|NP_243833.1	NC_002570|NP_244374.1	1.403
NC_002570|NP_242745.1	NC_002570|NP_243632.1	0.692
NC_002570|NP_244237.1	NC_002570|NP_244241.1	0.148
NC_002570|NP_241377.1	NC_002570|NP_242814.1	0.666
NC_002570|NP_242150.1	NC_002570|NP_243580.1	1.477
NC_002570|NP_241136.1	NC_002570|NP_242567.1	1.418
NC_002570|NP_241633.1	NC_002570|NP_243507.1	1.326
NC_002570|NP_242204.1	NC_002570|NP_243020.1	0.162
NC_002570|NP_241842.1	NC_002570|NP_244883.1	0.184
NC_002570|NP_240989.1	NC_002570|NP_243788.1	1.425
NC_002570|NP_241282.1	NC_002570|NP_243343.1	1.408
NC_002570|NP_241832.1	NC_002570|NP_244532.1	0.269
NC_002570|NP_242775.1	NC_002570|NP_244708.1	0.34
NC_002570|NP_242812.1	NC_002570|NP_243507.1	1.409
NC_002570|NP_242812.1	NC_002570|NP_244374.1	1.409
NC_002570|NP_243844.1	NC_002570|NP_244366.1	1.408
NC_002570|NP_243343.1	NC_002570|NP_243833.1	1.403
NC_002570|NP_242160.1	NC_002570|NP_244532.1	0.272
NC_002570|NP_241302.1	NC_002570|NP_241635.1	0.346
NC_002570|NP_241282.1	NC_002570|NP_242339.1	1.325
NC_002570|NP_242247.1	NC_002570|NP_243243.1	0.179
NC_002570|NP_244086.1	NC_002570|NP_244088.1	0.115
NC_002570|NP_240989.1	NC_002570|NP_243020.1	0.337
NC_002570|NP_242161.1	NC_002570|NP_244538.1	0.254
NC_002570|NP_241633.1	NC_002570|NP_242339.1	1.326
NC_002570|NP_242173.1	NC_002570|NP_242339.1	1.323
NC_002570|NP_241136.1	NC_002570|NP_244275.1	1.423
NC_002570|NP_242909.1	NC_002570|NP_242913.1	0.523
NC_002570|NP_242204.1	NC_002570|NP_244003.1	1.409
NC_002570|NP_241078.1	NC_002570|NP_244744.1	0.418
NC_002570|NP_242812.1	NC_002570|NP_243020.1	0.342
NC_002570|NP_243562.1	NC_002570|NP_244874.1	0.287
NC_002570|NP_242049.1	NC_002570|NP_242213.1	1.427
NC_002570|NP_242936.1	NC_002570|NP_244055.1	0.238
NC_002570|NP_243020.1	NC_002570|NP_244275.1	0.162
NC_002570|NP_241111.1	NC_002570|NP_242552.1	1.416
NC_002570|NP_242049.1	NC_002570|NP_244619.1	1.41
NC_002570|NP_244099.1	NC_002570|NP_244345.1	0.962
NC_002570|NP_242247.1	NC_002570|NP_244275.1	0.179
NC_002570|NP_242552.1	NC_002570|NP_242795.1	1.425
NC_002570|NP_241548.1	NC_002570|NP_242767.1	0.356
NC_002570|NP_241989.1	NC_002570|NP_244313.1	0.14
NC_002570|NP_244275.1	NC_002570|NP_244366.1	1.408
NC_002570|NP_242729.1	NC_002570|NP_244551.1	0.099
NC_002570|NP_240874.1	NC_002570|NP_244661.1	0.311
NC_002570|NP_241333.1	NC_002570|NP_241463.1	0.943
NC_002570|NP_241820.1	NC_002570|NP_242247.1	0.179
NC_002570|NP_241245.1	NC_002570|NP_242829.1	1.427
NC_002570|NP_241435.1	NC_002570|NP_242664.1	0.526
NC_002570|NP_241135.1	NC_002570|NP_243708.1	0.962
NC_002570|NP_243243.1	NC_002570|NP_244366.1	1.408
NC_002570|NP_243640.1	NC_002570|NP_244452.1	0.961
NC_002570|NP_241335.1	NC_002570|NP_243840.1	0.704
NC_002570|NP_241407.1	NC_002570|NP_244091.1	0.606
NC_002570|NP_242771.1	NC_002570|NP_242921.1	0.421
NC_002570|NP_241534.1	NC_002570|NP_244452.1	0.788
NC_002570|NP_241042.1	NC_002570|NP_244333.1	0.962
NC_002570|NP_241676.1	NC_002570|NP_242161.1	0.228
NC_002570|NP_241141.1	NC_002570|NP_244873.1	0.496
NC_002570|NP_241770.1	NC_002570|NP_242974.1	0.144
NC_002570|NP_240989.1	NC_002570|NP_243343.1	1.425
NC_002570|NP_244242.1	NC_002570|NP_244246.1	0.637
NC_002570|NP_241915.1	NC_002570|NP_243517.1	1.415
NC_002570|NP_242036.1	NC_002570|NP_243844.1	1.415
NC_002570|NP_240955.1	NC_002570|NP_243788.1	1.409
NC_002570|NP_240989.1	NC_002570|NP_242552.1	1.425
NC_002570|NP_241697.1	NC_002570|NP_244630.1	1.228
NC_002570|NP_243070.1	NC_002570|NP_243833.1	1.403
NC_002570|NP_243210.1	NC_002570|NP_244860.1	0.632
NC_002570|NP_243708.1	NC_002570|NP_244333.1	0.962
NC_002570|NP_243018.1	NC_002570|NP_243707.1	0.271
NC_002570|NP_241347.1	NC_002570|NP_242778.1	0.525
NC_002570|NP_244374.1	NC_002570|NP_244452.1	0.435
NC_002570|NP_242761.1	NC_002570|NP_243708.1	0.962
NC_002570|NP_241920.1	NC_002570|NP_242964.1	0.892
NC_002570|NP_241527.1	NC_002570|NP_244573.1	1.372
NC_002570|NP_244085.1	NC_002570|NP_244088.1	0.067
NC_002570|NP_241820.1	NC_002570|NP_244003.1	1.409
NC_002570|NP_242412.1	NC_002570|NP_244374.1	1.408
NC_002570|NP_241653.1	NC_002570|NP_241770.1	0.101
NC_002570|NP_243207.1	NC_002570|NP_244859.1	0.358
NC_002570|NP_241658.1	NC_002570|NP_242976.1	0.344
NC_002570|NP_241985.1	NC_002570|NP_242732.1	0.464
NC_002570|NP_241915.1	NC_002570|NP_242567.1	1.412
NC_002570|NP_242036.1	NC_002570|NP_242339.1	1.327
NC_002570|NP_242173.1	NC_002570|NP_243070.1	1.418
NC_002570|NP_243708.1	NC_002570|NP_244099.1	0.962
NC_002570|NP_242552.1	NC_002570|NP_244619.1	1.41
